gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
LOC127126980,79.86817632,4.423897212,0.834522606,5.301111295,1.15099891591314e-07,2.70097168721214e-05
LOC127092007,499.0671314,3.90969312,0.740019734,5.283228192,1.26927127926134e-07,2.89872821965646e-05
LOC127091107,55.24256233,-4.708030391,0.897864561,-5.243586386,1.57485022919472e-07,3.52999762484683e-05
LOC127091600,6425.187494,-3.195827357,0.612693841,-5.216026577,1.82801958766345e-07,4.02297256165062e-05
LOC127078534,54.48139982,-5.662045054,1.087887856,-5.204621989,1.94391894481643e-07,4.20164194786752e-05
LOC127097334,35.75011896,-5.052570392,0.973537649,-5.189907545,2.10398521982192e-07,4.46783107030255e-05
LOC127132235,39.6108091,-6.802343785,1.321082009,-5.149070036,2.61781128290454e-07,5.46310133935803e-05
LOC127108316,27.99189794,-8.809329055,1.71198931,-5.145668261,2.66570141099529e-07,5.46875421672661e-05
LOC127111374,25.91852449,-8.694604112,1.701039684,-5.111347014,3.19869801459963e-07,6.45284012811899e-05
LOC127086419,42.21936506,8.364120389,1.644204795,5.087030774,3.63712835439189e-07,7.21701665599335e-05
LOC127138538,31.51612003,-6.501955426,1.282162103,-5.071086884,3.95550124424033e-07,7.72215920327177e-05
LOC127086091,64.38716214,6.664624727,1.31638213,5.062834396,4.13068649061526e-07,7.93616337815985e-05
LOC127118223,78.16812193,5.758644023,1.142002292,5.042585347,4.59283793111421e-07,8.68620473721974e-05
LOC127074052,26.29723591,-8.722347626,1.731394183,-5.037759575,4.71012558732421e-07,8.77097847830342e-05
LOC127131099,114.7455101,5.02689626,0.999037263,5.031740505,4.86046865986093e-07,8.78394396272561e-05
LOC127138510,37.02398805,-5.689319525,1.130701795,-5.031671082,4.86222939113199e-07,8.78394396272561e-05
LOC127117527,102.069305,5.398817042,1.080348722,4.997291088,5.81412714858011e-07,0.000103491
LOC127101397,132.4213793,3.778623188,0.757244205,4.989966467,6.03897749249135e-07,0.000105285
LOC127107468,60.61003771,-3.69710917,0.741144544,-4.988378044,6.08883298344965e-07,0.000105285
LOC127075465,22.18863141,-8.446033918,1.696508459,-4.978480286,6.40854695635751e-07,0.000107735
LOC127126350,49.63898664,-4.654461386,0.934573972,-4.98030282,6.34848567227174e-07,0.000107735
LOC127083981,38.61923831,-5.148402667,1.035365468,-4.972546241,6.60792029754718e-07,0.000108966
LOC127098138,111.8120525,3.609338399,0.726083042,4.970971898,6.66181059771621e-07,0.000108966
LOC127085360,21.60285692,-8.428533919,1.709641328,-4.93000127,8.22290822676428e-07,0.000132707
LOC127117992,43.36683415,8.403103582,1.707763841,4.920530216,8.63100734025771e-07,0.00013746
LOC127132002,98.24278853,3.900631595,0.79430033,4.910776755,9.07163214840035e-07,0.000142601
LOC127074067,33.56249893,-4.955234064,1.011476633,-4.899009925,9.63207792289975e-07,0.000147578
LOC127107261,22.89428848,-8.523628158,1.739236415,-4.900787545,9.54532375715646e-07,0.000147578
LOC127076539,43.5112295,-3.87590291,0.79482913,-4.876397664,1.08040697663611e-06,0.000163466
LOC127126478,49.65224845,5.568839685,1.146652681,4.856605472,1.19415187190156e-06,0.000178445
LOC127106489,19.88094816,-8.282524339,1.712653886,-4.836075992,1.32427311953858e-06,0.000195476
LOC127117513,25.05484244,-8.596177703,1.781733091,-4.824615845,1.40273367944863e-06,0.000204563
LOC127126614,47.2577493,7.226367082,1.49877972,4.821500443,1.42482404379799e-06,0.00020531
LOC127092372,29.29834496,-6.371055702,1.322422686,-4.817715067,1.45211535007464e-06,0.000206781
LOC127074035,19.90819488,-8.315686109,1.727411887,-4.813956748,1.4797084679739e-06,0.00020826
LOC127078434,60.31649958,-3.763818979,0.783615315,-4.803146274,1.56191696135653e-06,0.000217304
LOC127108219,146.0473728,3.68689026,0.768207342,4.799342652,1.59187243327236e-06,0.000218096
LOC127138319,65.88737311,-5.340086971,1.113012919,-4.797866116,1.60364907002907e-06,0.000218096
LOC127128939,21.74725854,-8.453584475,1.76799626,-4.781449299,1.74035900065931e-06,0.000234059
LOC127081942,736.0031264,-4.405477833,0.924105378,-4.767289465,1.86720949066882e-06,0.000243018
LOC127085310,190.4712102,3.67325159,0.770043118,4.770189494,1.84052694523907e-06,0.000243018
LOC127085786,46.39968308,4.8137084,1.009714052,4.767397653,1.86620742882388e-06,0.000243018
LOC127075011,107.5681362,-3.104545149,0.65360457,-4.749882866,2.03534506245775e-06,0.000259324
LOC127098005,18.25167526,-8.168696179,1.719415698,-4.750855881,2.02557464349099e-06,0.000259324
